
Image Name                     PID Session Name        Session#    Mem Usage
NahimicSvc32.exe              7760 Console                    1      2,384 K
RuntimeBroker.exe            10652 Console                    1     23,408 K
SecurityHealthSystray.exe    10668 Console                    1     10,192 K
SecurityHealthService.exe     2632 Services                   0     15,112 K
RtkAudUService64.exe          6948 Console                    1     13,380 K
OneDrive.exe                  4720 Console                    1     61,172 K
svchost.exe                  11388 Services                   0      9,036 K
IGCCTray.exe                 11420 Console                    1     72,104 K
svchost.exe                  11428 Services                   0      8,728 K
IGCC.exe                     11704 Console                    1     52,244 K
Skype.exe                    11776 Console                    1     70,456 K
Skype.exe                    11872 Console                    1     15,704 K
Skype.exe                    11952 Console                    1     47,156 K
Skype.exe                    11980 Console                    1     22,512 K
Skype.exe                    12080 Console                    1     93,292 K
pycharm64.exe                 1652 Console                    1    997,768 K
svchost.exe                  12708 Console                    1     23,152 K
WinStore.App.exe             12732 Console                    1        228 K
ApplicationFrameHost.exe     12740 Console                    1     47,232 K
RuntimeBroker.exe            13260 Console                    1     20,736 K
svchost.exe                   7488 Services                   0     16,036 K
SystemSettings.exe           14092 Console                    1        748 K
svchost.exe                  14256 Services                   0      8,340 K
UserOOBEBroker.exe           14320 Console                    1      8,628 K
svchost.exe                   1228 Services                   0     12,220 K
fsnotifier64.exe              3600 Console                    1      1,876 K
conhost.exe                   3628 Console                    1     10,880 K
Calculator.exe               10052 Console                    1        528 K
RuntimeBroker.exe             3144 Console                    1     17,712 K
DellMobileConnectClient.e     3732 Console                    1    114,320 K
DellMobileConnectUniversa     5712 Console                    1     52,724 K
chrome.exe                    7832 Console                    1    218,804 K
chrome.exe                    8044 Console                    1      9,616 K
chrome.exe                   14016 Console                    1    332,456 K
chrome.exe                   13888 Console                    1     48,032 K
chrome.exe                   14056 Console                    1     83,020 K
chrome.exe                    2012 Console                    1     58,684 K
chrome.exe                    4336 Console                    1     89,000 K
chrome.exe                   13924 Console                    1     76,484 K
AWCC.Service.exe              2348 Services                   0     78,088 K
svchost.exe                  13300 Services                   0      7,548 K
XtuService.exe               12328 Services                   0     64,796 K
svchost.exe                  10400 Services                   0     11,432 K
DDVRulesProcessor.exe        11280 Services                   0     14,600 K
AWCC.Background.Server.ex    12820 Console                    1     56,180 K
Dell.D3.WinSvc.exe           11132 Services                   0    154,184 K
DSAPI.exe                     2832 Services                   0    123,996 K
DellSupportAssistRemedati    14340 Services                   0     79,484 K
ServiceShell.exe             14396 Services                   0     81,620 K
AWCC.exe                     14472 Console                    1     92,012 K
RuntimeBroker.exe            14792 Console                    1     27,760 K
OCControl.Service.exe        14916 Console                    1     90,396 K
GameLibraryAppService.exe    15644 Console                    1     33,724 K
dllhost.exe                  15836 Services                   0     13,312 K
msdtc.exe                    16032 Services                   0     10,432 K
svchost.exe                  16336 Services                   0     16,052 K
svchost.exe                  15160 Services                   0     12,104 K
SgrmBroker.exe               15820 Services                   0      6,452 K
SupportAssistAgent.exe       10060 Services                   0    115,688 K
DDVDataCollector.exe           704 Services                   0     25,984 K
DDVCollectorSvcApi.exe       16212 Services                   0      7,880 K
FileCoAuth.exe               15244 Console                    1     15,496 K
nvapiw.exe                    2664 Console                    1      9,152 K
chrome.exe                   14268 Console                    1     38,976 K
chrome.exe                    7428 Console                    1    179,784 K
chrome.exe                   10424 Console                    1    104,452 K
chrome.exe                   12012 Console                    1     37,444 K
chrome.exe                    2308 Console                    1     17,124 K
chrome.exe                   15152 Console                    1     61,496 K
chrome.exe                   14780 Console                    1     67,912 K
chrome.exe                   14664 Console                    1     84,676 K
SmartByteTelemetry.exe       15276 Console                    1     15,836 K
chrome.exe                   12996 Console                    1     62,396 K
chrome.exe                   13868 Console                    1    112,752 K
chrome.exe                    4392 Console                    1     42,628 K
chrome.exe                    3692 Console                    1     92,328 K
chrome.exe                   12408 Console                    1     95,384 K
chrome.exe                    4112 Console                    1     86,236 K
WindowsInternal.Composabl    11612 Console                    1     51,016 K
dllhost.exe                   6132 Console                    1     12,128 K
svchost.exe                    920 Services                   0     11,900 K
notepad++.exe                14576 Console                    1     25,884 K
ShellExperienceHost.exe      12392 Console                    1     52,908 K
taskhostw.exe                 8208 Console                    1     16,724 K
notepad.exe                   8740 Console                    1     17,788 K
cmd.exe                       6848 Console                    1      3,988 K
conhost.exe                  15916 Console                    1     19,792 K
chrome.exe                    5760 Console                    1     40,884 K
chrome.exe                    9992 Console                    1     73,164 K
GameBar.exe                    508 Console                    1      2,852 K
GameBarFTServer.exe           6860 Console                    1     15,156 K
RuntimeBroker.exe             9364 Console                    1     12,568 K
svchost.exe                   9056 Services                   0     15,888 K
chrome.exe                   15604 Console                    1    103,556 K
chrome.exe                   13620 Console                    1     63,764 K
chrome.exe                    8944 Console                    1     39,848 K
chrome.exe                   13444 Console                    1     38,624 K
chrome.exe                    7304 Console                    1     38,312 K
chrome.exe                    8404 Console                    1     21,564 K
svchost.exe                  13428 Services                   0      8,660 K
audiodg.exe                  11636 Services                   0     16,824 K
smartscreen.exe              11568 Console                    1     24,064 K
SearchProtocolHost.exe       14940 Console                    1      8,008 K
SearchFilterHost.exe         10904 Services                   0      6,492 K
python.exe                   16040 Console                    1      2,808 K
conhost.exe                  15024 Console                    1     11,120 K
python.exe                   12232 Console                    1      9,384 K
tasklist.exe                  5096 Console                    1      8,592 K
